city_id,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
199,vredendal,-31.67,18.5,55.98,74,6,6.93,ZA,1593452811
200,carnarvon,-24.87,113.63,60.8,100,90,6.93,AU,1593452567
201,hofn,64.25,-15.21,55.4,62,75,13.87,IS,1593452812
202,hobyo,5.35,48.53,78.82,78,42,25.7,SO,1593452812
203,saint-francois,46.42,3.91,73.4,43,0,14.99,FR,1593452812
204,lagoa,39.05,-27.98,67.78,95,12,10.85,PT,1593452812
205,tomorkeny,46.62,20.04,72.0,68,75,21.92,HU,1593452812
206,tahe,52.33,124.73,56.98,81,4,2.13,CN,1593452812
207,mahebourg,-20.41,57.7,69.8,88,40,4.7,MU,1593452812
208,jishou,28.32,109.72,74.71,94,100,2.04,CN,1593452777
209,tiznit,29.58,-9.5,80.55,49,0,7.07,MA,1593452813
210,cleburne,32.35,-97.39,91.0,55,1,17.22,US,1593452813
211,klaksvik,62.23,-6.59,60.8,67,40,11.41,FO,1593452583
212,banda aceh,5.56,95.32,80.28,79,95,5.39,ID,1593452813
213,lata,40.16,-8.33,82.0,81,0,5.99,PT,1593452813
214,chocope,-7.79,-79.22,74.21,55,46,14.03,PE,1593452813
215,kholodnyy,62.72,147.95,52.36,80,100,7.36,RU,1593452814
216,carutapera,-1.2,-46.02,84.72,72,18,8.72,BR,1593452814
217,gamba,-2.65,10.0,72.79,81,75,7.02,GA,1593452814
218,sorland,67.67,12.69,48.2,81,0,38.03,NO,1593452814
219,talara,-4.58,-81.27,77.0,61,12,16.11,PE,1593452814
220,bonavista,48.65,-53.11,59.77,83,74,11.36,CA,1593452814
221,pisco,-13.7,-76.22,66.0,77,40,8.05,PE,1593452815
222,faanui,-16.48,-151.75,77.65,77,100,23.49,PF,1593452575
223,krasnoselkup,65.7,82.47,63.95,48,96,18.66,RU,1593452815
224,salinopolis,-0.61,-47.36,82.8,80,42,12.77,BR,1593452815
225,olafsvik,64.89,-23.71,53.33,76,55,20.13,IS,1593452815
226,port moresby,-9.44,147.18,77.0,88,40,11.41,PG,1593452815
227,inirida,3.87,-67.92,88.2,61,90,2.44,CO,1593452816
228,rio branco,-9.97,-67.81,71.6,88,75,1.74,BR,1593452816
229,usinsk,65.99,57.53,42.35,85,100,15.37,RU,1593452816
230,santa fe do sul,-20.21,-50.93,81.68,47,84,9.28,BR,1593452816
231,rawson,-43.3,-65.1,45.0,90,100,14.99,AR,1593452816
232,georgetown,5.41,100.34,82.0,94,20,3.36,MY,1593452817
233,frontignan,43.45,3.75,86.0,42,5,19.46,FR,1593452817
234,cidreira,-30.18,-50.21,61.36,75,100,15.64,BR,1593452811
235,soubre,5.79,-6.61,74.91,95,48,4.03,CI,1593452817
236,rapid valley,44.06,-103.15,84.99,48,1,8.05,US,1593452817
237,wuwei,37.93,102.64,73.0,40,11,6.85,CN,1593452817
238,hami,42.8,93.45,81.14,22,97,10.42,CN,1593452817
239,chernyshevskiy,63.01,112.47,65.3,60,63,2.06,RU,1593452818
240,imbituba,-28.24,-48.67,64.4,68,75,4.7,BR,1593452818
241,lasem,-6.69,111.45,75.83,80,14,7.36,ID,1593452818
242,kalashnikovo,57.28,35.23,56.89,75,3,5.39,RU,1593452818
243,leningradskiy,69.38,178.42,32.2,98,96,3.8,RU,1593452818
244,nowa sol,51.8,15.72,66.2,59,75,11.41,PL,1593452818
245,puerto ayacucho,5.66,-67.62,82.4,74,40,4.7,VE,1593452819
246,vanimo,-2.67,141.3,77.95,81,100,5.03,PG,1593452819
247,alihe,50.57,123.72,56.5,91,72,2.93,CN,1593452589
248,inhambane,-23.86,35.38,66.2,77,10,3.36,MZ,1593452819
249,alice springs,-23.7,133.88,42.8,41,15,5.82,AU,1593452578
250,saldanha,-33.01,17.94,60.8,82,76,2.24,ZA,1593452587
251,arkhipovka,56.66,41.25,52.02,77,16,3.71,RU,1593452820
252,ponta do sol,32.67,-17.1,75.2,64,20,10.29,PT,1593452820
253,lukow,51.93,22.38,69.01,86,100,9.73,PL,1593452820
254,deputatskiy,69.3,139.9,44.89,65,75,2.33,RU,1593452820
255,tiksi,71.69,128.87,44.44,63,59,8.01,RU,1593452820
256,riverton,40.52,-111.94,53.01,76,40,11.41,US,1593452547
257,talcahuano,-36.72,-73.12,53.6,87,75,11.41,CL,1593452820
258,yabrud,33.97,36.66,86.0,25,0,11.41,SY,1593452821
259,oranjemund,-28.55,16.43,60.08,63,0,15.73,NA,1593452821
260,capao da canoa,-29.75,-50.01,60.71,78,100,15.77,BR,1593452821
261,flinders,-34.58,150.86,48.99,88,26,1.01,AU,1593452821
262,lesnoy,57.62,63.08,47.55,97,100,4.92,RU,1593452821
263,haines junction,60.75,-137.51,48.81,73,100,3.0,CA,1593452821
264,vardo,70.37,31.11,42.8,75,75,10.29,NO,1593452821
265,yabelo,4.88,38.08,60.96,79,56,6.46,ET,1593452822
266,kodiak,57.79,-152.41,53.6,71,1,3.36,US,1593452570
267,filadelfia,39.95,-75.16,89.6,43,20,12.75,US,1593452554
268,upernavik,72.79,-56.15,40.19,71,100,4.74,GL,1593452822
269,san borja,-14.82,-66.85,83.5,56,54,5.91,BO,1593452822
270,asau,46.43,26.4,70.0,81,64,2.66,RO,1593452822
271,chumikan,54.72,135.31,42.67,92,4,1.54,RU,1593452580
272,koutiala,12.39,-5.46,95.97,32,28,4.12,ML,1593452823
273,yerbogachen,61.28,108.01,68.49,59,63,2.93,RU,1593452823
274,aksu,41.12,80.26,69.12,27,0,4.43,CN,1593452823
275,bako,5.78,36.57,66.22,73,16,5.53,ET,1593452823
276,vista hermosa,19.52,-99.22,69.8,52,40,4.7,MX,1593452823
277,uglovoye,43.33,132.09,59.0,100,75,1.81,RU,1593452824
278,sangar,63.92,127.47,65.37,51,5,0.67,RU,1593452611
279,kieta,-6.22,155.63,77.92,75,12,2.98,PG,1593452824
280,bomet,-0.78,35.34,59.05,74,81,6.31,KE,1593452824
281,palauig,15.44,119.9,81.52,75,53,8.28,PH,1593452824
282,kinna,57.51,12.69,64.0,63,40,14.99,SE,1593452824
283,varkaus,62.32,27.87,64.4,45,85,8.05,FI,1593452825
284,reshetylivka,49.56,34.08,68.5,86,3,7.02,UA,1593452825
285,gorontalo,0.54,123.06,73.17,87,98,2.3,ID,1593452825
286,pemangkat,1.17,108.97,78.96,79,66,2.21,ID,1593452825
287,komsomolskiy,40.43,71.72,73.4,35,94,2.24,UZ,1593452610
288,wamba,8.93,8.6,77.09,81,87,1.41,NG,1593452825
289,karpathos,35.51,27.21,75.2,78,20,29.97,GR,1593452825
290,verkhnyaya inta,65.98,60.31,42.22,93,100,14.76,RU,1593452826
291,makakilo city,21.35,-158.09,75.2,88,40,3.36,US,1593452826
292,hayden,47.77,-116.79,70.0,52,1,14.99,US,1593452826
293,lamu,-2.27,40.9,78.1,82,6,17.4,KE,1593452826
294,hadishahr,38.84,45.66,80.6,24,0,6.93,AZ,1593452826
295,villa bruzual,9.33,-69.12,84.87,73,85,3.69,VE,1593452826
296,maltahohe,-24.83,16.98,56.28,31,0,9.53,NA,1593452827
297,soyo,-6.13,12.37,73.13,81,60,10.98,AO,1593452769
298,luena,-11.78,19.92,61.09,39,0,4.27,AO,1593452827
299,tasiilaq,65.61,-37.64,48.2,76,75,6.93,GL,1593452573
300,pianco,-7.2,-37.93,87.48,40,94,6.02,BR,1593452827
301,cherskiy,68.75,161.3,38.44,77,30,14.2,RU,1593452828
302,bardiyah,31.76,25.09,74.12,79,0,16.89,LY,1593452828
303,conway,35.09,-92.44,77.0,94,90,14.99,US,1593452700
304,ayan,56.45,138.17,47.25,90,0,5.86,RU,1593452612
305,coquimbo,-29.95,-71.34,53.6,100,90,8.05,CL,1593452536
306,nikolskoye,59.7,30.79,71.6,46,89,8.95,RU,1593452828
307,yelizovo,53.19,158.38,44.6,100,100,4.47,RU,1593452829
308,pinega,64.7,43.39,48.58,72,98,2.59,RU,1593452829
309,bonfim,3.08,-59.95,85.06,67,68,1.63,BR,1593452829
310,shipunovo,52.16,82.22,62.28,43,0,10.76,RU,1593452830
311,irituia,-1.77,-47.44,83.79,86,40,3.53,BR,1593452830
312,mikhaylov,54.23,39.02,57.81,79,0,5.91,RU,1593452830
313,sheridan,44.83,-106.92,64.0,72,90,10.29,US,1593452830
314,akureyri,65.68,-18.09,50.0,76,75,14.99,IS,1593452830
315,wilmington island,32.0,-80.97,98.01,49,40,14.99,US,1593452830
316,bella vista,36.43,-94.23,81.0,83,90,14.99,US,1593452830
317,lasa,46.62,10.7,62.6,63,40,5.82,IT,1593452831
318,southbridge,42.08,-72.03,75.0,74,91,1.99,US,1593452831
319,takoradi,4.88,-1.76,77.02,85,93,13.6,GH,1593452831
320,werda,-25.27,23.28,54.91,38,0,5.91,BW,1593452831
321,pacific grove,36.62,-121.92,66.99,63,1,4.7,US,1593452670
322,padang,-0.95,100.35,79.11,79,95,3.87,ID,1593452831
323,kindersley,51.47,-109.17,60.8,93,90,5.82,CA,1593452714
324,marau,-28.45,-52.2,55.81,89,100,8.21,BR,1593452659
325,verkh-chebula,56.03,87.62,54.55,80,26,7.74,RU,1593452832
326,alyangula,-13.85,136.42,60.8,93,0,7.18,AU,1593452832
327,altea,38.6,-0.05,90.0,70,3,5.5,ES,1593452832
328,north platte,41.12,-100.77,86.0,58,20,12.75,US,1593452602
329,aksarayskiy,46.79,48.01,77.0,47,81,13.42,RU,1593452833
330,tuatapere,-46.13,167.68,39.0,83,96,3.0,NZ,1593452833
331,nantucket,41.28,-70.1,77.0,88,90,3.36,US,1593452593
332,port hedland,-20.32,118.57,59.0,82,6,6.93,AU,1593452833
333,normandin,48.83,-72.53,71.6,78,40,3.36,CA,1593452833
334,huarmey,-10.07,-78.15,69.71,64,72,12.66,PE,1593452580
335,karratha,-20.74,116.85,69.94,52,26,8.23,AU,1593452749
336,kungurtug,50.6,97.52,54.63,71,0,2.35,RU,1593452834
337,galle,6.04,80.22,81.82,85,100,15.35,LK,1593452834
338,angoche,-16.23,39.91,74.34,81,0,7.52,MZ,1593452835
339,ostrovnoy,68.05,39.51,43.66,75,34,4.29,RU,1593452835
340,mount darwin,-16.77,31.58,65.91,40,4,3.51,ZW,1593452835
341,diebougou,10.97,-3.25,93.43,36,37,3.29,BF,1593452835
342,tamandare,-8.76,-35.1,79.5,72,62,9.51,BR,1593452600
343,la ronge,55.1,-105.28,59.0,77,90,10.29,CA,1593452835
344,udarnyy,54.34,42.86,53.02,81,9,4.92,RU,1593452836
345,ilulissat,69.22,-51.1,39.2,86,90,5.82,GL,1593452569
346,novikovo,51.15,37.89,65.7,86,0,10.36,RU,1593452836
347,bandarbeyla,9.49,50.81,80.87,72,15,32.3,SO,1593452836
348,sadon,42.85,44.0,69.8,49,80,8.95,RU,1593452836
349,nalut,30.33,10.85,98.29,11,0,13.62,LY,1593452836
350,bang sai,14.21,100.5,84.99,79,20,4.7,TH,1593452837
351,campestre,-21.71,-46.25,66.34,71,100,7.78,BR,1593452837
352,la libertad,-2.23,-80.9,75.2,83,75,11.41,EC,1593452837
353,santiago,-33.46,-70.65,46.4,81,75,13.87,CL,1593452711
354,guerrero negro,27.98,-114.06,72.54,57,44,9.8,MX,1593452837
355,los llanos de aridane,28.66,-17.92,73.4,83,40,16.11,ES,1593452837
356,delijan,33.99,50.68,79.86,19,0,6.58,IR,1593452838
357,lodwar,3.12,35.6,90.82,28,11,7.96,KE,1593452838
358,mount isa,-20.73,139.5,51.8,62,2,5.82,AU,1593452838
359,honningsvag,70.98,25.97,44.6,65,75,21.92,NO,1593452838
360,churapcha,62.0,132.43,62.69,58,19,4.41,RU,1593452838
361,xam nua,20.42,104.04,69.78,87,75,2.46,LA,1593452838
362,galveston,29.37,-94.97,89.6,70,90,19.46,US,1593452631
363,longyearbyen,78.22,15.64,41.0,75,75,8.05,SJ,1593452589
364,grindavik,63.84,-22.43,55.4,87,40,17.22,IS,1593452600
365,maldonado,-34.67,-54.92,57.2,67,75,16.11,UY,1593452839
366,salisbury,51.07,-1.8,62.6,55,75,21.92,GB,1593452839
367,kidal,18.44,1.41,101.03,7,5,7.67,ML,1593452597
368,nurobod,40.91,69.8,78.8,24,90,4.7,UZ,1593452839
369,looc,12.26,121.99,81.91,79,81,7.72,PH,1593452839
370,peniche,39.36,-9.38,75.0,74,0,13.0,PT,1593452840
371,yar-sale,66.83,70.83,51.12,91,83,5.14,RU,1593452840
372,moose factory,51.26,-80.61,77.0,65,1,11.41,CA,1593452840
373,tura,25.52,90.22,75.04,96,56,3.85,IN,1593452840
374,motygino,58.18,94.76,55.99,88,94,6.15,RU,1593452840
375,kamenka,51.32,42.77,68.0,85,10,9.44,RU,1593452840
376,cuenca,-2.88,-78.98,60.8,77,90,8.05,EC,1593452841
377,suez,29.97,32.53,79.86,52,0,17.94,EG,1593452736
378,khani,41.96,42.96,75.2,73,40,8.05,GE,1593452841
379,naica,27.85,-105.48,86.67,25,59,7.76,MX,1593452841
380,bougouni,11.42,-7.48,91.09,41,26,3.6,ML,1593452841
381,mizan teferi,6.98,35.58,62.42,92,92,2.73,ET,1593452842
382,hamilton,39.18,-84.53,88.0,72,87,1.99,US,1593452842
383,morondava,-20.28,44.28,74.82,74,0,14.85,MG,1593452842
384,wanaka,-44.7,169.15,32.34,91,10,4.21,NZ,1593452842
385,lompoc,34.64,-120.46,68.0,59,36,6.76,US,1593452842
